text,label
Everything feels disgusting.,disgusted
My mood is content.,amused
I feel very sleepy.,sleepy
That was really giggly!,amused
Everything feels neutral.,neutral
My mood is chuckling.,amused
Today I am feeling repulsed.,disgusted
That was really neither!,neutral
I feel very indifferent.,neutral
Everything feels infuriated.,angry
I'm so detestable right now.,disgusted
That was really fair!,neutral
Everything feels pooped.,sleepy
I can't stop feeling outraged.,angry
I'm so sleep right now.,sleepy
My mood is yawning.,sleepy
I can't stop feeling putrid.,disgusted
I'm so plain right now.,neutral
I can't stop feeling so-so.,neutral
Today I am feeling furious.,angry
I feel very usual.,neutral
Today I am feeling foul.,disgusted
Today I am feeling cross.,angry
I'm so offensive right now.,disgusted
Everything feels exhausted.,sleepy
This makes me provoked.,angry
This makes me giggly.,amused
That was really exasperated!,angry
My mood is seething.,angry
Everything feels outraged.,angry
I can't stop feeling mad.,angry
I feel very repugnant.,disgusted
Everything feels okay.,neutral
My mood is light-hearted.,amused
That was really rage!,angry
This makes me yawning.,sleepy
Everything feels foul.,disgusted
I can't stop feeling balanced.,neutral
I feel very meh.,neutral
That was really steady!,neutral
I feel very angry.,angry
My mood is outraged.,angry
My mood is wrathful.,angry
Today I am feeling regular.,neutral
Today I am feeling delighted.,amused
That was really disgust!,disgusted
My mood is drained.,sleepy
This makes me ordinary.,neutral
I feel very fuming.,angry
I'm so standard right now.,neutral
My mood is funny.,amused
I can't stop feeling so-so.,neutral
My mood is playful.,amused
Everything feels balanced.,neutral
My mood is provoked.,angry
Today I am feeling zonked.,sleepy
This makes me bitter.,angry
I feel very disgust.,disgusted
I can't stop feeling revolting.,disgusted
I'm so indignant right now.,angry
This makes me neither.,neutral
This makes me tired out.,sleepy
I can't stop feeling alright.,neutral
I'm so humorous right now.,amused
I'm so incensed right now.,angry
I feel very knackered.,sleepy
I can't stop feeling comic.,amused
I'm so fine right now.,neutral
I'm so appalled right now.,disgusted
Today I am feeling sluggish.,sleepy
I can't stop feeling pooped.,sleepy
I'm so pleased right now.,amused
I feel very upset.,angry
This makes me fatigued.,sleepy
That was really rest!,sleepy
My mood is usual.,neutral
I can't stop feeling mad.,angry
I can't stop feeling yuck.,disgusted
My mood is balanced.,neutral
My mood is fuming.,angry
Today I am feeling carefree.,amused
Everything feels vexed.,angry
I feel very disgust.,disgusted
I'm so unpleasant right now.,disgusted
I can't stop feeling knackered.,sleepy
I can't stop feeling drowsy.,sleepy
That was really okay!,neutral
My mood is neither good nor bad.,neutral
I'm so ordinary right now.,neutral
I can't stop feeling light-hearted.,amused
Today I am feeling fun.,amused
Everything feels alright.,neutral
I'm so disgust right now.,disgusted
Today I am feeling ew.,disgusted
Everything feels vexed.,angry
That was really frustrated!,angry
Everything feels yuck.,disgusted
I can't stop feeling consistent.,neutral
Today I am feeling laughing.,amused
I feel very nauseated.,disgusted
Everything feels meh.,neutral
I feel very happy.,amused
I feel very alright.,neutral
I'm so abominable right now.,disgusted
I feel very yawning.,sleepy
That was really unremarkable!,neutral
I'm so average right now.,neutral
I feel very incensed.,angry
That was really enjoying!,amused
That was really dozing!,sleepy
I'm so sleep right now.,sleepy
That was really plain!,neutral
I feel very aggressive.,angry
Everything feels neither good nor bad.,neutral
That was really insomnia!,sleepy
I'm so fair right now.,neutral
Today I am feeling provoked.,angry
I'm so laugh right now.,amused
I can't stop feeling pleased.,amused
My mood is same.,neutral
My mood is hostile.,angry
Today I am feeling tickled.,amused
That was really carefree!,amused
I'm so dead tired right now.,sleepy
That was really repellent!,disgusted
Today I am feeling unpleasant.,disgusted
I can't stop feeling rage.,angry
Today I am feeling sleepy.,sleepy
I'm so detestable right now.,disgusted
I can't stop feeling wiped out.,sleepy
I can't stop feeling drained.,sleepy
That was really cheerful!,amused
This makes me dozing.,sleepy
Today I am feeling neither good nor bad.,neutral
That was really loathsome!,disgusted
I'm so nap right now.,sleepy
Everything feels comic.,amused
This makes me bed.,sleepy
I feel very repellent.,disgusted
That was really eww!,disgusted
This makes me dozing.,sleepy
My mood is typical.,neutral
My mood is vexed.,angry
This makes me pleased.,amused
I can't stop feeling abhorrent.,disgusted
My mood is sleepy.,sleepy
My mood is neither.,neutral
My mood is unpleasant.,disgusted
That was really giggly!,amused
That was really so-so!,neutral
I can't stop feeling comic.,amused
Today I am feeling cross.,angry
I feel very despicable.,disgusted
My mood is irate.,angry
This makes me meh.,neutral
Today I am feeling regular.,neutral
I can't stop feeling enjoying.,amused
I feel very pooped.,sleepy
This makes me light-hearted.,amused
Today I am feeling abominable.,disgusted
This makes me tickled.,amused
This makes me mad.,angry
Today I am feeling cheerful.,amused
I can't stop feeling bitter.,angry
This makes me entertaining.,amused
My mood is unremarkable.,neutral
My mood is mediocre.,neutral
That was really disgusted!,disgusted
My mood is unchanged.,neutral
I'm so playful right now.,amused
I'm so putrid right now.,disgusted
I'm so chuckling right now.,amused
This makes me dozing.,sleepy
Everything feels vile.,disgusted
That was really hostile!,angry
My mood is angry.,angry
I'm so okay right now.,neutral
I feel very contemptible.,disgusted
I can't stop feeling giggly.,amused
That was really unchanged!,neutral
Everything feels neutral.,neutral
Today I am feeling neutral.,neutral
I feel very smiling.,amused
My mood is putrid.,disgusted
My mood is sickened.,disgusted
I can't stop feeling carefree.,amused
That was really groggy!,sleepy
Today I am feeling appalled.,disgusted
This makes me comic.,amused
Everything feels tired out.,sleepy
I'm so cross right now.,angry
This makes me bed.,sleepy
This makes me enjoying.,amused
I feel very chuckling.,amused
My mood is bed.,sleepy
I'm so revolted right now.,disgusted
I can't stop feeling standard.,neutral
Everything feels giddy.,amused
Today I am feeling knackered.,sleepy
Today I am feeling abominable.,disgusted
Today I am feeling humorous.,amused
I feel very rage.,angry
Everything feels beat.,sleepy
Today I am feeling ew.,disgusted
My mood is revolting.,disgusted
This makes me meh.,neutral
I can't stop feeling steady.,neutral
I feel very incensed.,angry
I feel very neither.,neutral
I feel very joyful.,amused
I'm so sickened right now.,disgusted
That was really repellent!,disgusted
This makes me dead tired.,sleepy
That was really exasperated!,angry
I feel very fine.,neutral
Today I am feeling rest.,sleepy
Everything feels groggy.,sleepy
Today I am feeling giddy.,amused
That was really same!,neutral
Everything feels tired.,sleepy
This makes me cheerful.,amused
I can't stop feeling repugnant.,disgusted
That was really witty!,amused
My mood is bushed.,sleepy
I can't stop feeling indignant.,angry
I'm so indifferent right now.,neutral
This makes me tickled.,amused
My mood is antagonistic.,angry
This makes me indifferent.,neutral
My mood is funny.,amused
I feel very funny.,amused
This makes me tired out.,sleepy
I feel very balanced.,neutral
I feel very revolted.,disgusted
I feel very angry.,angry
I can't stop feeling meh.,neutral
Today I am feeling unremarkable.,neutral
I can't stop feeling irate.,angry
I feel very abominable.,disgusted
That was really plain!,neutral
Everything feels detestable.,disgusted
I'm so bitter right now.,angry
I can't stop feeling hilarious.,amused
That was really disgusted!,disgusted
I feel very sleepless.,sleepy
I can't stop feeling balanced.,neutral
I'm so wiped out right now.,sleepy
I can't stop feeling normal.,neutral
That was really exhausted!,sleepy
Today I am feeling exhausted.,sleepy
Everything feels despicable.,disgusted
I feel very pooped.,sleepy
This makes me antagonistic.,angry
That was really mediocre!,neutral
I can't stop feeling loathsome.,disgusted
I'm so neither good nor bad right now.,neutral
Everything feels content.,amused
I feel very ew.,disgusted
I feel very seething.,angry
My mood is repulsed.,disgusted
I'm so worn out right now.,sleepy
Today I am feeling consistent.,neutral
This makes me tickled.,amused
I feel very plain.,neutral
I'm so regular right now.,neutral
I'm so sleep right now.,sleepy
Everything feels beat.,sleepy
This makes me giddy.,amused
My mood is stable.,neutral
I feel very so-so.,neutral
I'm so repugnant right now.,disgusted
That was really silly!,amused
I can't stop feeling amused.,amused
My mood is neither good nor bad.,neutral
Today I am feeling giggly.,amused
That was really happy!,amused
I feel very appalled.,disgusted
My mood is cheerful.,amused
I can't stop feeling regular.,neutral
I can't stop feeling okay.,neutral
Today I am feeling standard.,neutral
My mood is indignant.,angry
My mood is moderate.,neutral
This makes me bed.,sleepy
I feel very alright.,neutral
I can't stop feeling exasperated.,angry
Today I am feeling irate.,angry
I feel very unpleasant.,disgusted
I feel very disgusting.,disgusted
Today I am feeling incensed.,angry
Today I am feeling unchanged.,neutral
My mood is irritated.,angry
I'm so insomnia right now.,sleepy
This makes me laugh.,amused
This makes me yawning.,sleepy
This makes me putrid.,disgusted
That was really rage!,angry
I feel very offensive.,disgusted
Everything feels moderate.,neutral
Everything feels alright.,neutral
This makes me napping.,sleepy
This makes me irritated.,angry
My mood is outraged.,angry
I feel very bushed.,sleepy
That was really disgust!,disgusted
Everything feels abhorrent.,disgusted
I'm so bed right now.,sleepy
I feel very nap.,sleepy
I'm so despicable right now.,disgusted
I can't stop feeling loathsome.,disgusted
This makes me insomnia.,sleepy
Everything feels delighted.,amused
I'm so content right now.,amused
Today I am feeling silly.,amused
My mood is mediocre.,neutral
I'm so funny right now.,amused
Everything feels irritated.,angry
I can't stop feeling nauseated.,disgusted
My mood is regular.,neutral
I can't stop feeling beat.,sleepy
This makes me smiling.,amused
I can't stop feeling hostile.,angry
I feel very average.,neutral
Today I am feeling wrathful.,angry
Everything feels angry.,angry
I'm so nap right now.,sleepy
I feel very tired out.,sleepy
I feel very chuckling.,amused
My mood is provoked.,angry
This makes me hilarious.,amused
My mood is knackered.,sleepy
Today I am feeling humorous.,amused
Today I am feeling groggy.,sleepy
That was really amused!,amused
Today I am feeling rage.,angry
I can't stop feeling zonked.,sleepy
I feel very bitter.,angry
That was really exasperated!,angry
I feel very sleepless.,sleepy
I feel very stable.,neutral
This makes me disgusted.,disgusted
That was really unremarkable!,neutral
Everything feels usual.,neutral
I'm so foul right now.,disgusted
That was really mediocre!,neutral
Today I am feeling infuriated.,angry
Everything feels average.,neutral
I can't stop feeling exasperated.,angry
Everything feels unremarkable.,neutral
I can't stop feeling frustrated.,angry
That was really usual!,neutral
I can't stop feeling disgusted.,disgusted
I'm so irritated right now.,angry
That was really fatigued!,sleepy
I feel very disgusted.,disgusted
Today I am feeling upset.,angry
Today I am feeling frustrated.,angry
This makes me funny.,amused
I'm so dozing right now.,sleepy
My mood is neither good nor bad.,neutral
This makes me wrathful.,angry
Everything feels hilarious.,amused
This makes me repugnant.,disgusted
Today I am feeling content.,amused
My mood is bed.,sleepy
I can't stop feeling smiling.,amused
Today I am feeling aggressive.,angry
This makes me appalled.,disgusted
Today I am feeling laughter.,amused
My mood is enraged.,angry
Today I am feeling laugh.,amused
My mood is happy.,amused
This makes me irritated.,angry
My mood is smiling.,amused
My mood is provoked.,angry
I feel very antagonistic.,angry
Everything feels normal.,neutral
My mood is normal.,neutral
I feel very drowsy.,sleepy
This makes me cross.,angry
Today I am feeling infuriated.,angry
That was really silly!,amused
Today I am feeling pooped.,sleepy
I'm so joyful right now.,amused
I'm so fatigued right now.,sleepy
I can't stop feeling revolting.,disgusted
My mood is contemptible.,disgusted
Today I am feeling hilarious.,amused
My mood is silly.,amused
Everything feels sleep.,sleepy
I can't stop feeling furious.,angry
This makes me tickled.,amused
I can't stop feeling aggressive.,angry
This makes me outraged.,angry
I feel very indignant.,angry
My mood is worn out.,sleepy
Today I am feeling irate.,angry
I can't stop feeling repugnant.,disgusted
Everything feels pleased.,amused
That was really enjoying!,amused
I feel very joke.,amused
My mood is unpleasant.,disgusted
Today I am feeling repulsed.,disgusted
Today I am feeling contemptible.,disgusted
I'm so fun right now.,amused
I feel very annoyed.,angry
I'm so offensive right now.,disgusted
I'm so laugh right now.,amused
Today I am feeling dozing.,sleepy
That was really laughter!,amused
I can't stop feeling neither.,neutral
I can't stop feeling nap.,sleepy
I feel very fuming.,angry
That was really abhorrent!,disgusted
That was really distasteful!,disgusted
I'm so drained right now.,sleepy
Everything feels wiped out.,sleepy
I feel very abhorrent.,disgusted
Everything feels incensed.,angry
I feel very annoyed.,angry
I'm so rest right now.,sleepy
I can't stop feeling irate.,angry
That was really mad!,angry
Everything feels ew.,disgusted
This makes me ordinary.,neutral
I can't stop feeling groggy.,sleepy
I can't stop feeling joyful.,amused
I can't stop feeling eww.,disgusted
Everything feels groggy.,sleepy
That was really laugh!,amused
Everything feels indifferent.,neutral
I feel very wiped out.,sleepy
I can't stop feeling gross.,disgusted
Everything feels eww.,disgusted
That was really unchanged!,neutral
Today I am feeling wiped out.,sleepy
This makes me hilarious.,amused
My mood is contemptible.,disgusted
I'm so laughter right now.,amused
I'm so exasperated right now.,angry
I feel very pleased.,amused
My mood is stable.,neutral
This makes me fun.,amused
I'm so outraged right now.,angry
I can't stop feeling revolting.,disgusted
That was really lethargic!,sleepy
I feel very resentful.,angry
I'm so gross right now.,disgusted
I can't stop feeling contemptible.,disgusted
My mood is infuriated.,angry
Today I am feeling silly.,amused
Everything feels livid.,angry
I'm so hilarious right now.,amused
Today I am feeling playful.,amused
Everything feels yuck.,disgusted
That was really entertaining!,amused
I can't stop feeling happy.,amused
Everything feels normal.,neutral
That was really wiped out!,sleepy
Everything feels seething.,angry
Everything feels steady.,neutral
I feel very typical.,neutral
Everything feels distasteful.,disgusted
This makes me sluggish.,sleepy
I feel very foul.,disgusted
Today I am feeling tired out.,sleepy
I'm so mad right now.,angry
I feel very delighted.,amused
Everything feels beat.,sleepy
My mood is gross.,disgusted
This makes me steady.,neutral
My mood is offensive.,disgusted
This makes me enjoying.,amused
My mood is cheerful.,amused
I'm so tired right now.,sleepy
Today I am feeling normal.,neutral
Everything feels infuriated.,angry
I feel very loathsome.,disgusted
Today I am feeling neutral.,neutral
My mood is bushed.,sleepy
I feel very joke.,amused
Today I am feeling disgusting.,disgusted
I'm so outraged right now.,angry
Everything feels loathsome.,disgusted
Today I am feeling fuming.,angry
That was really dozing!,sleepy
Everything feels weary.,sleepy
My mood is drained.,sleepy
I feel very disgust.,disgusted
Today I am feeling annoyed.,angry
I'm so laughter right now.,amused
I feel very seething.,angry
My mood is frustrated.,angry
My mood is livid.,angry
My mood is okay.,neutral
I feel very entertaining.,amused
Everything feels zonked.,sleepy
Everything feels meh.,neutral
I can't stop feeling detestable.,disgusted
I'm so average right now.,neutral
Today I am feeling average.,neutral
I'm so entertaining right now.,amused
I feel very neither.,neutral
Today I am feeling antagonistic.,angry
I feel very yuck.,disgusted
My mood is mediocre.,neutral
That was really hostile!,angry
That was really resentful!,angry
I feel very unchanged.,neutral
Everything feels stable.,neutral
I feel very witty.,amused
I'm so angry right now.,angry
This makes me alright.,neutral
Everything feels neutral.,neutral
I can't stop feeling vile.,disgusted
I can't stop feeling drowsy.,sleepy
My mood is loathsome.,disgusted
My mood is ordinary.,neutral
Today I am feeling bushed.,sleepy
Everything feels nap.,sleepy
Today I am feeling revolted.,disgusted
Everything feels abominable.,disgusted
This makes me napping.,sleepy
Today I am feeling usual.,neutral
That was really repellent!,disgusted
Today I am feeling aggressive.,angry
Today I am feeling light-hearted.,amused
This makes me amused.,amused
I'm so wrathful right now.,angry
That was really irritated!,angry
I'm so drowsy right now.,sleepy
I feel very eww.,disgusted
This makes me playful.,amused
This makes me happy.,amused
I'm so offensive right now.,disgusted
Everything feels fun.,amused
I feel very average.,neutral
That was really laughing!,amused
I'm so provoked right now.,angry
That was really okay!,neutral
Everything feels napping.,sleepy
I can't stop feeling groggy.,sleepy
Today I am feeling sleepy.,sleepy
I'm so joke right now.,amused
Today I am feeling repugnant.,disgusted
I can't stop feeling dead tired.,sleepy
My mood is distasteful.,disgusted
I'm so appalled right now.,disgusted
I'm so pleased right now.,amused
I feel very sleep.,sleepy
Today I am feeling joke.,amused
This makes me unchanged.,neutral
This makes me loathsome.,disgusted
This makes me pooped.,sleepy
My mood is laugh.,amused
This makes me stable.,neutral
That was really ew!,disgusted
I'm so standard right now.,neutral
Today I am feeling stable.,neutral
This makes me plain.,neutral
This makes me lethargic.,sleepy
I'm so drained right now.,sleepy
I'm so annoyed right now.,angry
I feel very fine.,neutral
Today I am feeling beat.,sleepy
My mood is plain.,neutral
That was really indignant!,angry
This makes me disgusting.,disgusted
I'm so sleepless right now.,sleepy
That was really happy!,amused
I feel very fuming.,angry
That was really seething!,angry
Today I am feeling regular.,neutral
This makes me putrid.,disgusted
Today I am feeling enjoying.,amused
Today I am feeling revolting.,disgusted
This makes me rest.,sleepy
My mood is zonked.,sleepy
This makes me rest.,sleepy
My mood is sleepless.,sleepy
My mood is standard.,neutral
My mood is so-so.,neutral
This makes me silly.,amused
That was really gross!,disgusted
I feel very vile.,disgusted
This makes me fair.,neutral
Today I am feeling laughing.,amused
Everything feels amused.,amused
Everything feels groggy.,sleepy
Today I am feeling detestable.,disgusted
That was really content!,amused
I can't stop feeling moderate.,neutral
Everything feels tickled.,amused
I can't stop feeling same.,neutral
Everything feels fuming.,angry
Today I am feeling tired out.,sleepy
I feel very revolted.,disgusted
I feel very tired.,sleepy
I can't stop feeling fine.,neutral
I feel very resentful.,angry
I can't stop feeling laughter.,amused
That was really joyful!,amused
That was really steady!,neutral
Everything feels gross.,disgusted
My mood is alright.,neutral
This makes me so-so.,neutral
I can't stop feeling neither good nor bad.,neutral
Today I am feeling sickened.,disgusted
I feel very laughing.,amused
That was really napping!,sleepy
I feel very ew.,disgusted
I can't stop feeling sluggish.,sleepy
Today I am feeling joyful.,amused
I can't stop feeling witty.,amused
That was really mad!,angry
That was really drowsy!,sleepy
That was really appalled!,disgusted
My mood is neither good nor bad.,neutral
I feel very humorous.,amused
Everything feels hostile.,angry
Today I am feeling normal.,neutral
This makes me neither.,neutral
I can't stop feeling detestable.,disgusted
My mood is weary.,sleepy
This makes me amused.,amused
That was really exhausted!,sleepy
I can't stop feeling unpleasant.,disgusted
Today I am feeling yawning.,sleepy
Today I am feeling bed.,sleepy
That was really indifferent!,neutral
I'm so amused right now.,amused
That was really joke!,amused
My mood is repugnant.,disgusted
This makes me knackered.,sleepy
My mood is repulsed.,disgusted
My mood is dead tired.,sleepy
That was really weary!,sleepy
My mood is meh.,neutral
That was really enraged!,angry
I can't stop feeling putrid.,disgusted
This makes me sluggish.,sleepy
Everything feels playful.,amused
I can't stop feeling foul.,disgusted
I'm so revolted right now.,disgusted
Today I am feeling foul.,disgusted
I feel very stable.,neutral
That was really laughing!,amused
That was really annoyed!,angry
My mood is despicable.,disgusted
I'm so indifferent right now.,neutral
I feel very fair.,neutral
I feel very giggly.,amused
My mood is rest.,sleepy
This makes me revolting.,disgusted
Today I am feeling normal.,neutral
I'm so happy right now.,amused
This makes me enraged.,angry
That was really normal!,neutral
I'm so wrathful right now.,angry
Everything feels dead tired.,sleepy
Everything feels frustrated.,angry
My mood is frustrated.,angry
This makes me lethargic.,sleepy
Today I am feeling antagonistic.,angry
My mood is laugh.,amused
That was really seething!,angry
I feel very ordinary.,neutral
I can't stop feeling unpleasant.,disgusted
My mood is carefree.,amused
My mood is tired.,sleepy
That was really putrid!,disgusted
Today I am feeling tickled.,amused
My mood is giddy.,amused
I feel very vile.,disgusted
My mood is mad.,angry
My mood is nauseated.,disgusted
That was really unchanged!,neutral
Everything feels resentful.,angry
My mood is fair.,neutral
Today I am feeling mediocre.,neutral
I feel very drowsy.,sleepy
This makes me yuck.,disgusted
That was really irate!,angry
Everything feels witty.,amused
I feel very foul.,disgusted
I can't stop feeling tickled.,amused
Today I am feeling cross.,angry
Today I am feeling seething.,angry
Today I am feeling so-so.,neutral
I feel very sleepy.,sleepy
I can't stop feeling neutral.,neutral
My mood is giggly.,amused
I can't stop feeling vile.,disgusted
I can't stop feeling sleepless.,sleepy
That was really offensive!,disgusted
That was really knackered!,sleepy
That was really nauseated!,disgusted
This makes me revolted.,disgusted
My mood is abhorrent.,disgusted
This makes me weary.,sleepy
My mood is wiped out.,sleepy
Everything feels insomnia.,sleepy
I'm so abominable right now.,disgusted
Everything feels drained.,sleepy
My mood is repellent.,disgusted
Everything feels rage.,angry
That was really distasteful!,disgusted
I can't stop feeling wrathful.,angry
That was really yuck!,disgusted
Today I am feeling consistent.,neutral
I'm so fuming right now.,angry
This makes me tired out.,sleepy
I feel very appalled.,disgusted
I can't stop feeling light-hearted.,amused
This makes me revolted.,disgusted
Today I am feeling light-hearted.,amused
I can't stop feeling unremarkable.,neutral
That was really drained!,sleepy
Everything feels sleepy.,sleepy
Everything feels bushed.,sleepy
I can't stop feeling moderate.,neutral
That was really delighted!,amused
This makes me wiped out.,sleepy
This makes me joyful.,amused
I can't stop feeling disgusted.,disgusted
I can't stop feeling sluggish.,sleepy
My mood is lethargic.,sleepy
My mood is chuckling.,amused
I'm so bed right now.,sleepy
That was really amused!,amused
Today I am feeling ew.,disgusted
This makes me giddy.,amused
My mood is amused.,amused
That was really infuriated!,angry
I feel very lethargic.,sleepy
This makes me incensed.,angry
I'm so hilarious right now.,amused
My mood is fine.,neutral
Everything feels yuck.,disgusted
Today I am feeling infuriated.,angry
I feel very average.,neutral
I can't stop feeling disgust.,disgusted
That was really cheerful!,amused
Today I am feeling drowsy.,sleepy
Today I am feeling aggressive.,angry
That was really vexed!,angry
Today I am feeling insomnia.,sleepy
I can't stop feeling enraged.,angry
I feel very fatigued.,sleepy
Everything feels tired out.,sleepy
This makes me livid.,angry
I can't stop feeling typical.,neutral
This makes me comic.,amused
This makes me livid.,angry
My mood is fun.,amused
This makes me disgusted.,disgusted
Everything feels fatigued.,sleepy
I can't stop feeling smiling.,amused
My mood is groggy.,sleepy
This makes me mediocre.,neutral
This makes me distasteful.,disgusted
I feel very consistent.,neutral
Today I am feeling humorous.,amused
Today I am feeling livid.,angry
I feel very alright.,neutral
Everything feels average.,neutral
I feel very tired.,sleepy
I can't stop feeling moderate.,neutral
Today I am feeling hostile.,angry
I feel very fine.,neutral
This makes me fine.,neutral
Everything feels delighted.,amused
Everything feels chuckling.,amused
My mood is so-so.,neutral
This makes me irritated.,angry
That was really disgust!,disgusted
I feel very vexed.,angry
That was really witty!,amused
Everything feels insomnia.,sleepy
My mood is vile.,disgusted
